datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,vcu.1,uni,rsl,rsl.1,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,mtz,god,gzl,frk,bac,hol,ori,model_out_sf_tidal_filter,model_out_sf_tidal_energy
2014-01-31,SCHISM,ft,3,6379.28,6015.48,1229.16,4200.74,3983.42,1.0,1.0,2.39,0.15,81.2,115.8,691.53,1368.49,1368.49,605.1,490.76,378.0,378.0,947.89,337.0,337.0,1015.7,19800.21,12825.03,8365.96,2643.0,369.9,4571.53,1160.65,287.86,262.01,964.0,1008.99,171.25,7281.81,640.54,6481.64,7972.48,7618.39,1053.66,171.25,1361.18,4591.39,8365.44,26879.16,347.26,11487.59,13185.28,16555.12,316.43,302.48,313.21,547.33,2.39,2.25
2014-02-01,SCHISM,ft,3,6771.58,6361.14,1190.88,4212.09,3494.27,1.0,1.0,2.0,0.13,78.0,140.5,-115.6,456.83,456.83,646.37,513.09,378.0,378.0,949.12,337.0,337.0,1015.29,19555.09,12722.96,8324.33,2597.22,353.89,4538.05,1189.67,292.81,271.93,967.06,964.82,171.25,7305.88,652.2,6732.08,8296.15,7593.17,1078.59,171.25,1359.58,4556.08,8323.8,27090.84,347.69,11362.49,13068.38,16645.53,320.93,314.28,319.43,569.76,2.38,1.87
2014-02-02,SCHISM,ft,3,6999.18,6631.88,1175.35,4258.14,3453.23,1.0,1.0,1.68,0.08,77.6,97.6,-365.56,37.17,37.17,665.3,540.62,378.0,378.0,974.19,337.0,337.0,973.99,18602.12,12056.24,7391.85,2150.69,270.2,4167.91,1122.69,271.5,270.85,974.8,942.39,178.86,7330.48,641.17,7024.01,8321.0,7502.1,1026.06,180.59,1219.26,4185.69,7391.32,27148.5,355.17,10874.26,12075.52,16514.49,316.43,316.43,318.36,594.65,2.32,1.52
2014-02-03,SCHISM,ft,3,6677.35,6343.61,1174.71,4217.7,3255.87,1.0,1.0,1.47,0.09,77.0,100.9,-277.6,139.05,139.05,635.54,527.81,378.0,378.0,962.37,322.65,322.65,977.45,19488.29,12212.9,7749.67,2088.5,280.33,4312.2,1148.34,286.78,276.67,976.64,968.08,183.64,7356.31,675.89,7271.54,7413.06,7514.46,944.43,171.25,1135.02,4325.31,7748.61,27589.71,357.09,11213.94,12565.74,16295.57,327.58,316.43,327.15,577.5,2.32,1.33
2014-02-04,SCHISM,ft,3,6193.32,5888.84,1193.73,4200.86,2915.49,1.0,1.0,1.32,0.26,76.8,100.7,-170.01,340.49,340.49,660.52,513.09,378.0,378.0,945.65,317.29,317.29,980.3,19725.3,12320.44,7968.97,2029.9,277.96,4295.38,1168.31,295.17,281.62,976.64,961.35,188.41,7372.75,692.7,7483.56,7855.96,7579.59,952.18,171.25,1138.05,4313.49,7968.09,28287.36,357.95,11045.75,12437.5,16240.58,326.5,316.43,328.86,591.1,2.45,1.24
2014-02-05,SCHISM,ft,3,6246.76,5764.22,1214.53,4256.52,2910.16,1.0,1.0,1.34,0.31,74.4,79.6,-215.01,210.76,210.76,656.15,516.87,378.0,378.0,932.38,334.0,334.0,979.89,20133.26,12790.23,8464.73,2144.87,283.56,4521.67,1252.42,311.92,289.37,976.64,948.3,192.1,7389.55,716.12,7524.35,8049.91,7685.55,1014.07,171.25,1201.96,4541.37,8463.85,29059.88,358.59,11036.72,12648.41,16508.59,332.93,316.43,331.64,610.11,2.52,1.24
2014-02-06,SCHISM,ft,3,6512.63,5778.32,1206.1,4244.15,2695.7,1.0,1.0,1.61,0.16,74.0,32.0,-746.88,-634.66,-634.66,695.19,567.67,384.82,384.82,918.7,337.0,337.0,962.37,19352.5,12103.58,7627.03,1885.73,255.54,4079.68,1211.61,291.95,293.24,976.64,929.93,192.1,7361.79,707.42,7533.53,8756.24,7696.83,952.38,171.68,1136.23,4098.6,7624.74,28429.01,363.5,10640.24,11748.26,16634.73,342.99,317.29,332.93,654.28,2.39,1.41
2014-02-07,SCHISM,ft,3,6435.93,5849.84,1206.0,4224.37,2030.33,1.0,1.0,1.92,0.02,74.0,-7.4,-1394.63,-1325.18,-1325.18,678.38,534.32,403.12,403.12,917.88,348.97,348.97,957.89,19763.56,12342.89,7709.16,1918.02,268.26,4224.19,1273.49,317.07,301.62,973.38,917.88,196.23,7342.15,758.3,7659.64,7674.8,7813.03,941.57,174.51,1099.24,4242.88,7707.57,28656.63,373.95,10840.95,12043.39,16740.14,347.69,333.14,351.11,618.87,2.29,1.73
2014-02-08,SCHISM,ft,3,6830.36,6182.97,1239.78,4205.67,606.15,1.0,1.0,2.37,-0.03,73.2,-12.8,-3271.12,-3383.63,-3383.63,623.25,468.18,423.3,423.3,905.41,357.52,357.52,948.51,20142.08,12633.94,7907.3,1980.75,274.94,4495.53,1335.59,334.64,317.07,965.02,914.4,216.83,7248.52,811.47,7764.63,7477.38,7909.93,956.66,186.46,1139.66,4515.42,7905.01,28504.19,380.56,10926.67,12212.73,16805.59,351.97,337.0,373.53,561.17,2.28,2.18
2014-02-09,SCHISM,ft,3,10231.29,7401.17,1285.33,4466.26,1996.55,1.0,1.0,2.97,0.03,72.4,0.9,-5052.91,-5453.23,-5453.23,576.25,438.14,475.78,475.78,911.95,357.52,357.52,942.18,20015.3,12497.0,7974.24,1837.91,281.62,4367.22,1300.96,325.43,332.07,957.28,905.82,236.31,7147.87,830.59,7692.95,7502.63,7991.63,963.39,192.1,1090.94,4386.23,7972.48,27720.35,382.48,11134.39,12404.62,16865.61,351.97,348.12,395.04,513.72,2.32,2.75
